english_sentence,alc_statement
Every supplier uses at least one engineer.,Supplier ⊑ ∃uses.Engineer
A account or a scientist.,Account ⊔ Scientist
Every hospital is a product that attends at least one person.,Hospital ⊑ Product ⊓ ∃attends.Person
Anything that attends a movie also attends a school.,∃attends.Movie ⊑ ∃attends.School
All scientists are universitys.,Scientist ⊑ University
Every library is both a engineer and a course.,Library ⊑ Engineer ⊓ Course
All persons are defined as a city or a music.,Person ⊑ City ⊔ Music
A company is always a supplier.,Company ⊑ Supplier
Every supplier uses at least one machine.,Supplier ⊑ ∃uses.Machine
Every account is a manager.,Account ⊑ Manager
A transaction or a hardware.,Transaction ⊔ Hardware
All scientists are defined as a company or a car.,Scientist ⊑ Company ⊔ Car
Each supplier is located in a device.,Supplier ⊑ ∃locatedIn.Device
Nothing that is a invoice is a university.,Invoice ⊑ ¬University
A university is always a organization.,University ⊑ Organization
Every university develops something that is both a country and a software.,University ⊑ ∃develops.(Country ⊓ Software)
All customers are banks as well as products.,Customer ⊑ Bank ⊓ Product
Anything that creates a cat.,∃creates.Cat
Each machine manages a student.,Machine ⊑ ∃manages.Student
All artists are managers as well as customers.,Artist ⊑ Manager ⊓ Customer
Every bank is a car that reads only dogs.,Bank ⊑ Car ⊓ ∀reads.Dog
All persons are defined as a school or a software.,Person ⊑ School ⊔ Software
Every country works for only things that are either a city or a organization.,Country ⊑ ∀worksFor.(City ⊔ Organization)
Every library operates at least one cat.,Library ⊑ ∃operates.Cat
Nothing that is a building is a dog.,Building ⊑ ¬Dog
Whatever is both a device and a company designs a department.,Device ⊓ Company ⊑ ∃designs.Department
Every book is a hospital that designs only citys.,Book ⊑ Hospital ⊓ ∀designs.City
Every car is both a country and a vehicle.,Car ⊑ Country ⊓ Vehicle
Every city treats only things that are either a engineer or a plant.,City ⊑ ∀treats.(Engineer ⊔ Plant)
A patient is neither a researcher nor a doctor.,Patient ⊑ ¬(Researcher ⊔ Doctor)
Every hospital is a engineer that operates only persons.,Hospital ⊑ Engineer ⊓ ∀operates.Person
All buildings are foods.,Building ⊑ Food
Anything that authors a company.,∃authors.Company
A university is neither a company nor a supplier.,University ⊑ ¬(Company ⊔ Supplier)
A device is neither a publication nor a employee.,Device ⊑ ¬(Publication ⊔ Employee)
Every order teaches something that is both a building and a software.,Order ⊑ ∃teaches.(Building ⊓ Software)
Every plant authors only suppliers.,Plant ⊑ ∀authors.Supplier
Each researcher buys a bank.,Researcher ⊑ ∃buys.Bank
Every library is either a bank or a person.,Library ⊑ Bank ⊔ Person
Every machine knows at least one patient.,Machine ⊑ ∃knows.Patient
Anything that is located in only departments.,∀locatedIn.Department
Every engineer is both a company and a building.,Engineer ⊑ Company ⊓ Building
All orders are defined as a department or a hospital.,Order ⊑ Department ⊔ Hospital
A bank is something that is located in a food.,Bank ⊑ ∃locatedIn.Food
Each department develops a device.,Department ⊑ ∃develops.Device
Every car is a patient that is located in only transactions.,Car ⊑ Patient ⊓ ∀locatedIn.Transaction
Every city supervises something that is both a hardware and a order.,City ⊑ ∃supervises.(Hardware ⊓ Order)
A project and a building.,Project ⊓ Building
A hospital is something that uses a publication.,Hospital ⊑ ∃uses.Publication
"If a transaction produces anything, it must be a dog.",Transaction ⊑ ∀produces.Dog
All employees are hardwares as well as devices.,Employee ⊑ Hardware ⊓ Device
No bank is a course.,Bank ⊑ ¬Course
Every country manages only things that are either a building or a artist.,Country ⊑ ∀manages.(Building ⊔ Artist)
Each cat knows a country.,Cat ⊑ ∃knows.Country
"If a hardware has child anything, it must be a country.",Hardware ⊑ ∀hasChild.Country
A researcher is something that maintains a plant.,Researcher ⊑ ∃maintains.Plant
A device and a music.,Device ⊓ Music
A organization is neither a plant nor a dog.,Organization ⊑ ¬(Plant ⊔ Dog)
Every hospital supervises only products.,Hospital ⊑ ∀supervises.Product
Anything that treats only services.,∀treats.Service
Anything that reads a course also reads a artist.,∃reads.Course ⊑ ∃reads.Artist
Every engineer is a device that works for at least one supplier.,Engineer ⊑ Device ⊓ ∃worksFor.Supplier
A course is always a cat.,Course ⊑ Cat
Every account is either a music or a organization.,Account ⊑ Music ⊔ Organization
Anything that buys only suppliers.,∀buys.Supplier
A food is neither a machine nor a school.,Food ⊑ ¬(Machine ⊔ School)
A course is something that treats a department.,Course ⊑ ∃treats.Department
Every city that designs only movies is a country.,City ⊓ ∀designs.Movie ⊑ Country
Every doctor that supervises a vehicle is a course.,Doctor ⊓ ∃supervises.Vehicle ⊑ Course
No patient is a manager.,Patient ⊑ ¬Manager
All students are suppliers.,Student ⊑ Supplier
Every customer is a animal that owns at least one car.,Customer ⊑ Animal ⊓ ∃owns.Car
Every organization that treats only products is a artist.,Organization ⊓ ∀treats.Product ⊑ Artist
A school cannot be a course.,School ⊑ ¬Course
Every plant is a dog that buys only buildings.,Plant ⊑ Dog ⊓ ∀buys.Building
Anything that buys a software also buys a company.,∃buys.Software ⊑ ∃buys.Company
A bank cannot be a software.,Bank ⊑ ¬Software
Anything that reads only artists.,∀reads.Artist
Every artist knows only softwares.,Artist ⊑ ∀knows.Software
Anything that buys a car.,∃buys.Car
A food or a invoice.,Food ⊔ Invoice
A person or a school.,Person ⊔ School
A building or a software.,Building ⊔ Software
Anything that reads a animal.,∃reads.Animal
Every organization has child something that is both a scientist and a car.,Organization ⊑ ∃hasChild.(Scientist ⊓ Car)
"If a food operates anything, it must be a book.",Food ⊑ ∀operates.Book
A supplier is something that delivers a city.,Supplier ⊑ ∃delivers.City
Every music that is located in only customers is a car.,Music ⊓ ∀locatedIn.Customer ⊑ Car
A order is always a artist.,Order ⊑ Artist
A engineer is neither a bank nor a library.,Engineer ⊑ ¬(Bank ⊔ Library)
A music or a software.,Music ⊔ Software
A manager and a department.,Manager ⊓ Department
No artist is a service.,Artist ⊑ ¬Service
All hospitals are banks as well as engineers.,Hospital ⊑ Bank ⊓ Engineer
Every employee is either a student or a project.,Employee ⊑ Student ⊔ Project
Every department is a patient.,Department ⊑ Patient
A account cannot be a product.,Account ⊑ ¬Product
Every person is both a doctor and a project.,Person ⊑ Doctor ⊓ Project
A cat and a invoice.,Cat ⊓ Invoice
All teachers are defined as a service or a bank.,Teacher ⊑ Service ⊔ Bank
A project is always a employee.,Project ⊑ Employee
A software is always a building.,Software ⊑ Building
Whatever is both a country and a customer manages a person.,Country ⊓ Customer ⊑ ∃manages.Person
A account is neither a city nor a customer.,Account ⊑ ¬(City ⊔ Customer)
Every service is both a teacher and a book.,Service ⊑ Teacher ⊓ Book
A patient is neither a school nor a movie.,Patient ⊑ ¬(School ⊔ Movie)
Anything that likes a library.,∃likes.Library
Nothing that is a artist is a transaction.,Artist ⊑ ¬Transaction
"If a school sells anything, it must be a researcher.",School ⊑ ∀sells.Researcher
Every animal is a book that teaches at least one food.,Animal ⊑ Book ⊓ ∃teaches.Food
Anything that owns a movie also owns a vehicle.,∃owns.Movie ⊑ ∃owns.Vehicle
Every order is a dog that authors at least one person.,Order ⊑ Dog ⊓ ∃authors.Person
Every company supervises something that is both a machine and a researcher.,Company ⊑ ∃supervises.(Machine ⊓ Researcher)
Every city develops something that is both a person and a teacher.,City ⊑ ∃develops.(Person ⊓ Teacher)
Every bank treats something that is both a building and a scientist.,Bank ⊑ ∃treats.(Building ⊓ Scientist)
All courses are defined as a doctor or a city.,Course ⊑ Doctor ⊔ City
A library is always a engineer.,Library ⊑ Engineer
All employees are plants.,Employee ⊑ Plant
Every software that sells a patient is a publication.,Software ⊓ ∃sells.Patient ⊑ Publication
Every music is both a dog and a hardware.,Music ⊑ Dog ⊓ Hardware
Every product has child something that is both a transaction and a book.,Product ⊑ ∃hasChild.(Transaction ⊓ Book)
Every customer that treats a plant is a transaction.,Customer ⊓ ∃treats.Plant ⊑ Transaction
All accounts are teachers as well as hospitals.,Account ⊑ Teacher ⊓ Hospital
"If a organization sells anything, it must be a software.",Organization ⊑ ∀sells.Software
A device and a department.,Device ⊓ Department
Every company is either a transaction or a service.,Company ⊑ Transaction ⊔ Service
Anything that uses a hardware also uses a course.,∃uses.Hardware ⊑ ∃uses.Course
A product cannot be a organization.,Product ⊑ ¬Organization
All artists are defined as a service or a person.,Artist ⊑ Service ⊔ Person
Every transaction maintains at least one department.,Transaction ⊑ ∃maintains.Department
Anything that likes a food also likes a engineer.,∃likes.Food ⊑ ∃likes.Engineer
Every manager that supervises only movies is a software.,Manager ⊓ ∀supervises.Movie ⊑ Software
A school and a library.,School ⊓ Library
A engineer cannot be a organization.,Engineer ⊑ ¬Organization
Every dog is a researcher that uses at least one patient.,Dog ⊑ Researcher ⊓ ∃uses.Patient
Every manager is a teacher that authors only publications.,Manager ⊑ Teacher ⊓ ∀authors.Publication
Anything that sells a teacher also sells a book.,∃sells.Teacher ⊑ ∃sells.Book
A patient and a teacher.,Patient ⊓ Teacher
Every customer uses only things that are either a movie or a hospital.,Customer ⊑ ∀uses.(Movie ⊔ Hospital)
Anything that teaches only machines.,∀teaches.Machine
All accounts are defined as a car or a scientist.,Account ⊑ Car ⊔ Scientist
Every vehicle is a music.,Vehicle ⊑ Music
Each artist operates a employee.,Artist ⊑ ∃operates.Employee
Every invoice that teaches only foods is a account.,Invoice ⊓ ∀teaches.Food ⊑ Account
Every engineer teaches only things that are either a company or a school.,Engineer ⊑ ∀teaches.(Company ⊔ School)
Every manager that uses only animals is a vehicle.,Manager ⊓ ∀uses.Animal ⊑ Vehicle
No patient is a transaction.,Patient ⊑ ¬Transaction
Every book owns at least one school.,Book ⊑ ∃owns.School
A artist designs exclusively departments.,Artist ⊑ ∀designs.Department
"If a invoice develops anything, it must be a patient.",Invoice ⊑ ∀develops.Patient
All banks are defined as a library or a service.,Bank ⊑ Library ⊔ Service
A patient is something that operates a course.,Patient ⊑ ∃operates.Course
Every university authors at least one cat.,University ⊑ ∃authors.Cat
"If a scientist likes anything, it must be a product.",Scientist ⊑ ∀likes.Product
"If a dog funds anything, it must be a food.",Dog ⊑ ∀funds.Food
A transaction is something that owns a dog.,Transaction ⊑ ∃owns.Dog
A software operates exclusively vehicles.,Software ⊑ ∀operates.Vehicle
Every country that buys only foods is a product.,Country ⊓ ∀buys.Food ⊑ Product
Every person produces at least one transaction.,Person ⊑ ∃produces.Transaction
Anything that produces only schools.,∀produces.School
Every animal is a car.,Animal ⊑ Car
Every bank is a company.,Bank ⊑ Company
"If a device teaches anything, it must be a project.",Device ⊑ ∀teaches.Project
Each plant is located in a project.,Plant ⊑ ∃locatedIn.Project
All cars are defined as a machine or a city.,Car ⊑ Machine ⊔ City
Every animal supervises something that is both a doctor and a device.,Animal ⊑ ∃supervises.(Doctor ⊓ Device)
A vehicle designs exclusively transactions.,Vehicle ⊑ ∀designs.Transaction
Every hospital is either a building or a department.,Hospital ⊑ Building ⊔ Department
Every device that funds a patient is a scientist.,Device ⊓ ∃funds.Patient ⊑ Scientist
A teacher or a transaction.,Teacher ⊔ Transaction
A employee is always a cat.,Employee ⊑ Cat
A researcher is something that maintains a car.,Researcher ⊑ ∃maintains.Car
Every artist is a customer.,Artist ⊑ Customer
Every teacher develops only dogs.,Teacher ⊑ ∀develops.Dog
A dog cannot be a university.,Dog ⊑ ¬University
A employee cannot be a library.,Employee ⊑ ¬Library
Each scientist works for a device.,Scientist ⊑ ∃worksFor.Device
Every supplier is both a order and a organization.,Supplier ⊑ Order ⊓ Organization
A cat cannot be a doctor.,Cat ⊑ ¬Doctor
Every employee that is located in only hardwares is a supplier.,Employee ⊓ ∀locatedIn.Hardware ⊑ Supplier
A supplier is always a university.,Supplier ⊑ University
A publication cannot be a building.,Publication ⊑ ¬Building
Anything that attends a music.,∃attends.Music
"If a engineer owns anything, it must be a school.",Engineer ⊑ ∀owns.School
A company is always a order.,Company ⊑ Order
A doctor reads exclusively researchers.,Doctor ⊑ ∀reads.Researcher
A food is something that likes a plant.,Food ⊑ ∃likes.Plant
All students are defined as a scientist or a music.,Student ⊑ Scientist ⊔ Music
Nothing that is a plant is a engineer.,Plant ⊑ ¬Engineer
A product cannot be a teacher.,Product ⊑ ¬Teacher
Every food is a project that works for only transactions.,Food ⊑ Project ⊓ ∀worksFor.Transaction
No employee is a city.,Employee ⊑ ¬City
Anything that delivers a organization also delivers a person.,∃delivers.Organization ⊑ ∃delivers.Person
Every researcher sells something that is both a animal and a product.,Researcher ⊑ ∃sells.(Animal ⊓ Product)
Every cat is a vehicle.,Cat ⊑ Vehicle
A software and a school.,Software ⊓ School
Anything that delivers a transaction.,∃delivers.Transaction
Every movie that develops a student is a customer.,Movie ⊓ ∃develops.Student ⊑ Customer
Whatever is both a movie and a school is located in a teacher.,Movie ⊓ School ⊑ ∃locatedIn.Teacher
Nothing that is a employee is a organization.,Employee ⊑ ¬Organization
Anything that funds only employees.,∀funds.Employee
Every manager is a customer.,Manager ⊑ Customer
Every movie is a food that has child only patients.,Movie ⊑ Food ⊓ ∀hasChild.Patient
A music or a customer.,Music ⊔ Customer
Every account sells only patients.,Account ⊑ ∀sells.Patient
Anything that authors a scientist also authors a software.,∃authors.Scientist ⊑ ∃authors.Software
Every teacher is a city.,Teacher ⊑ City
Every course is either a hospital or a supplier.,Course ⊑ Hospital ⊔ Supplier
All artists are defined as a library or a plant.,Artist ⊑ Library ⊔ Plant
Every employee is both a university and a company.,Employee ⊑ University ⊓ Company
All hardwares are customers as well as students.,Hardware ⊑ Customer ⊓ Student
Every supplier is both a project and a cat.,Supplier ⊑ Project ⊓ Cat
A doctor cannot be a transaction.,Doctor ⊑ ¬Transaction
Every engineer is a artist that owns only librarys.,Engineer ⊑ Artist ⊓ ∀owns.Library
A city is something that reads a device.,City ⊑ ∃reads.Device
A scientist or a cat.,Scientist ⊔ Cat
A vehicle cannot be a music.,Vehicle ⊑ ¬Music
"If a library produces anything, it must be a book.",Library ⊑ ∀produces.Book
Every account that reads a school is a publication.,Account ⊓ ∃reads.School ⊑ Publication
A project is neither a music nor a device.,Project ⊑ ¬(Music ⊔ Device)
Every software is either a manager or a hardware.,Software ⊑ Manager ⊔ Hardware
No department is a dog.,Department ⊑ ¬Dog
Every dog is a invoice.,Dog ⊑ Invoice
Every artist that attends only companys is a project.,Artist ⊓ ∀attends.Company ⊑ Project
No publication is a department.,Publication ⊑ ¬Department
Anything that maintains only scientists.,∀maintains.Scientist
Every library is both a scientist and a car.,Library ⊑ Scientist ⊓ Car
All buildings are defined as a doctor or a bank.,Building ⊑ Doctor ⊔ Bank
Every scientist funds only buildings.,Scientist ⊑ ∀funds.Building
All hospitals are defined as a department or a customer.,Hospital ⊑ Department ⊔ Customer
A course cannot be a book.,Course ⊑ ¬Book
A person is something that owns a company.,Person ⊑ ∃owns.Company
Every movie that works for only books is a vehicle.,Movie ⊓ ∀worksFor.Book ⊑ Vehicle
Nothing that is a product is a engineer.,Product ⊑ ¬Engineer
Every order is either a service or a city.,Order ⊑ Service ⊔ City
A teacher is neither a scientist nor a customer.,Teacher ⊑ ¬(Scientist ⊔ Customer)
Every device is either a supplier or a engineer.,Device ⊑ Supplier ⊔ Engineer
"If a school teaches anything, it must be a music.",School ⊑ ∀teaches.Music
Every patient teaches only products.,Patient ⊑ ∀teaches.Product
Whatever is both a city and a school supervises a software.,City ⊓ School ⊑ ∃supervises.Software
Every teacher that uses only hardwares is a customer.,Teacher ⊓ ∀uses.Hardware ⊑ Customer
A artist is neither a employee nor a book.,Artist ⊑ ¬(Employee ⊔ Book)
Each supplier buys a animal.,Supplier ⊑ ∃buys.Animal
Nothing that is a order is a organization.,Order ⊑ ¬Organization
Every school that funds a project is a service.,School ⊓ ∃funds.Project ⊑ Service
Each doctor manages a transaction.,Doctor ⊑ ∃manages.Transaction
Nothing that is a machine is a bank.,Machine ⊑ ¬Bank
Every invoice has child at least one dog.,Invoice ⊑ ∃hasChild.Dog
Nothing that is a service is a machine.,Service ⊑ ¬Machine
Whatever is both a service and a doctor likes a country.,Service ⊓ Doctor ⊑ ∃likes.Country
Every music that delivers a account is a course.,Music ⊓ ∃delivers.Account ⊑ Course
Every researcher that buys only doctors is a account.,Researcher ⊓ ∀buys.Doctor ⊑ Account
Every food is a doctor that delivers at least one school.,Food ⊑ Doctor ⊓ ∃delivers.School
Every transaction authors at least one university.,Transaction ⊑ ∃authors.University
Every hardware authors at least one customer.,Hardware ⊑ ∃authors.Customer
Every project is either a device or a movie.,Project ⊑ Device ⊔ Movie
Anything that teaches a project also teaches a department.,∃teaches.Project ⊑ ∃teaches.Department
A animal is something that produces a transaction.,Animal ⊑ ∃produces.Transaction
Every department is a researcher that attends at least one publication.,Department ⊑ Researcher ⊓ ∃attends.Publication
Every engineer is a country.,Engineer ⊑ Country
Anything that maintains a software.,∃maintains.Software
Whatever is both a hospital and a city develops a vehicle.,Hospital ⊓ City ⊑ ∃develops.Vehicle
Every building is a service that buys only invoices.,Building ⊑ Service ⊓ ∀buys.Invoice
A scientist is always a person.,Scientist ⊑ Person
All hardwares are engineers as well as artists.,Hardware ⊑ Engineer ⊓ Artist
All departments are projects.,Department ⊑ Project
All movies are defined as a teacher or a project.,Movie ⊑ Teacher ⊔ Project
Every scientist works for only things that are either a animal or a cat.,Scientist ⊑ ∀worksFor.(Animal ⊔ Cat)
All patients are invoices.,Patient ⊑ Invoice
Every organization is a engineer that delivers only movies.,Organization ⊑ Engineer ⊓ ∀delivers.Movie
Every scientist that authors a device is a hardware.,Scientist ⊓ ∃authors.Device ⊑ Hardware
Each machine works for a food.,Machine ⊑ ∃worksFor.Food
A animal is neither a dog nor a food.,Animal ⊑ ¬(Dog ⊔ Food)
Every manager works for only things that are either a order or a hardware.,Manager ⊑ ∀worksFor.(Order ⊔ Hardware)
A building or a publication.,Building ⊔ Publication
Anything that reads a company also reads a cat.,∃reads.Company ⊑ ∃reads.Cat
Every vehicle teaches only banks.,Vehicle ⊑ ∀teaches.Bank
No device is a transaction.,Device ⊑ ¬Transaction
A building is always a transaction.,Building ⊑ Transaction
Every account maintains something that is both a organization and a order.,Account ⊑ ∃maintains.(Organization ⊓ Order)
Anything that develops a dog also develops a country.,∃develops.Dog ⊑ ∃develops.Country
Anything that develops only publications.,∀develops.Publication
Anything that sells a transaction.,∃sells.Transaction
Anything that delivers a engineer.,∃delivers.Engineer
A book or a person.,Book ⊔ Person
Each artist maintains a researcher.,Artist ⊑ ∃maintains.Researcher
A invoice is something that knows a teacher.,Invoice ⊑ ∃knows.Teacher
"If a artist funds anything, it must be a vehicle.",Artist ⊑ ∀funds.Vehicle
A bank and a organization.,Bank ⊓ Organization
A animal or a university.,Animal ⊔ University
A person is neither a researcher nor a library.,Person ⊑ ¬(Researcher ⊔ Library)
Every device is either a supplier or a transaction.,Device ⊑ Supplier ⊔ Transaction
Every building is a teacher that treats only musics.,Building ⊑ Teacher ⊓ ∀treats.Music
Anything that operates a artist.,∃operates.Artist
Whatever is both a cat and a service designs a invoice.,Cat ⊓ Service ⊑ ∃designs.Invoice
All schools are animals.,School ⊑ Animal
Every dog is a hardware that has child only softwares.,Dog ⊑ Hardware ⊓ ∀hasChild.Software
A device and a library.,Device ⊓ Library
A project is always a company.,Project ⊑ Company
Every artist develops at least one software.,Artist ⊑ ∃develops.Software
Anything that manages only departments.,∀manages.Department
Anything that delivers a animal also delivers a account.,∃delivers.Animal ⊑ ∃delivers.Account
All companys are invoices.,Company ⊑ Invoice
Whatever is both a city and a food produces a product.,City ⊓ Food ⊑ ∃produces.Product
A school and a animal.,School ⊓ Animal
All doctors are defined as a teacher or a book.,Doctor ⊑ Teacher ⊔ Book
Every student treats only buildings.,Student ⊑ ∀treats.Building
A cat and a building.,Cat ⊓ Building
A dog or a project.,Dog ⊔ Project
Every publication is a vehicle that teaches only transactions.,Publication ⊑ Vehicle ⊓ ∀teaches.Transaction
Each customer manages a account.,Customer ⊑ ∃manages.Account
Every animal is a teacher.,Animal ⊑ Teacher
Anything that teaches a doctor also teaches a cat.,∃teaches.Doctor ⊑ ∃teaches.Cat
No school is a movie.,School ⊑ ¬Movie
A animal likes exclusively artists.,Animal ⊑ ∀likes.Artist
A book and a organization.,Book ⊓ Organization
Every researcher is either a product or a movie.,Researcher ⊑ Product ⊔ Movie
A course cannot be a company.,Course ⊑ ¬Company
Anything that attends only universitys.,∀attends.University
"If a plant is located in anything, it must be a hardware.",Plant ⊑ ∀locatedIn.Hardware
A account cannot be a organization.,Account ⊑ ¬Organization
Nothing that is a manager is a animal.,Manager ⊑ ¬Animal
"If a product has child anything, it must be a employee.",Product ⊑ ∀hasChild.Employee
Anything that supervises a employee.,∃supervises.Employee
All doctors are orders.,Doctor ⊑ Order
Every scientist that delivers a machine is a artist.,Scientist ⊓ ∃delivers.Machine ⊑ Artist
Every product that produces a engineer is a plant.,Product ⊓ ∃produces.Engineer ⊑ Plant
Every movie is either a book or a account.,Movie ⊑ Book ⊔ Account
A service is always a device.,Service ⊑ Device
Every bank buys only things that are either a service or a patient.,Bank ⊑ ∀buys.(Service ⊔ Patient)
A library or a music.,Library ⊔ Music
Anything that is located in a project.,∃locatedIn.Project
All banks are defined as a supplier or a department.,Bank ⊑ Supplier ⊔ Department
Every hospital is either a dog or a service.,Hospital ⊑ Dog ⊔ Service
Each course maintains a organization.,Course ⊑ ∃maintains.Organization
A publication supervises exclusively universitys.,Publication ⊑ ∀supervises.University
Every account operates only things that are either a patient or a dog.,Account ⊑ ∀operates.(Patient ⊔ Dog)
Every manager is a animal that buys at least one software.,Manager ⊑ Animal ⊓ ∃buys.Software
Every machine maintains at least one invoice.,Machine ⊑ ∃maintains.Invoice
Every building is both a hardware and a course.,Building ⊑ Hardware ⊓ Course
A cat is always a vehicle.,Cat ⊑ Vehicle
A order is something that operates a device.,Order ⊑ ∃operates.Device
Every city that creates a department is a movie.,City ⊓ ∃creates.Department ⊑ Movie
A account is always a device.,Account ⊑ Device
A scientist operates exclusively services.,Scientist ⊑ ∀operates.Service
No product is a department.,Product ⊑ ¬Department
A scientist is always a patient.,Scientist ⊑ Patient
A customer is neither a dog nor a hospital.,Customer ⊑ ¬(Dog ⊔ Hospital)
Every employee is a doctor that treats only vehicles.,Employee ⊑ Doctor ⊓ ∀treats.Vehicle
Whatever is both a machine and a artist treats a person.,Machine ⊓ Artist ⊑ ∃treats.Person
Every project is a product that produces only softwares.,Project ⊑ Product ⊓ ∀produces.Software
Every engineer attends at least one device.,Engineer ⊑ ∃attends.Device
A library and a dog.,Library ⊓ Dog
Every library delivers something that is both a animal and a order.,Library ⊑ ∃delivers.(Animal ⊓ Order)
All persons are defined as a doctor or a machine.,Person ⊑ Doctor ⊔ Machine
Every supplier teaches only publications.,Supplier ⊑ ∀teaches.Publication
All persons are defined as a hardware or a employee.,Person ⊑ Hardware ⊔ Employee
"If a plant has child anything, it must be a researcher.",Plant ⊑ ∀hasChild.Researcher
Every machine is both a order and a bank.,Machine ⊑ Order ⊓ Bank
Every dog is a account that supervises at least one customer.,Dog ⊑ Account ⊓ ∃supervises.Customer
Every order creates at least one software.,Order ⊑ ∃creates.Software
Nothing that is a building is a publication.,Building ⊑ ¬Publication
Every food produces at least one invoice.,Food ⊑ ∃produces.Invoice
Anything that works for a movie also works for a publication.,∃worksFor.Movie ⊑ ∃worksFor.Publication
Every student is a project that sells at least one transaction.,Student ⊑ Project ⊓ ∃sells.Transaction
Every order is a publication that treats only doctors.,Order ⊑ Publication ⊓ ∀treats.Doctor
Every invoice is a service that maintains at least one bank.,Invoice ⊑ Service ⊓ ∃maintains.Bank
A engineer is something that uses a department.,Engineer ⊑ ∃uses.Department
A hardware is something that knows a product.,Hardware ⊑ ∃knows.Product
Every scientist is both a department and a order.,Scientist ⊑ Department ⊓ Order
A hospital delivers exclusively transactions.,Hospital ⊑ ∀delivers.Transaction
Every company develops only invoices.,Company ⊑ ∀develops.Invoice
All buildings are defined as a teacher or a device.,Building ⊑ Teacher ⊔ Device
All buildings are defined as a researcher or a machine.,Building ⊑ Researcher ⊔ Machine
A project is always a transaction.,Project ⊑ Transaction
Each school works for a doctor.,School ⊑ ∃worksFor.Doctor
Every movie is both a building and a artist.,Movie ⊑ Building ⊓ Artist
A library is always a artist.,Library ⊑ Artist
A engineer or a employee.,Engineer ⊔ Employee
A person is neither a building nor a service.,Person ⊑ ¬(Building ⊔ Service)
Whatever is both a building and a device likes a transaction.,Building ⊓ Device ⊑ ∃likes.Transaction
A plant is something that teaches a organization.,Plant ⊑ ∃teaches.Organization
Every scientist that develops a animal is a transaction.,Scientist ⊓ ∃develops.Animal ⊑ Transaction
All buildings are employees as well as artists.,Building ⊑ Employee ⊓ Artist
Nothing that is a device is a employee.,Device ⊑ ¬Employee
Every engineer sells something that is both a student and a organization.,Engineer ⊑ ∃sells.(Student ⊓ Organization)
A publication is always a university.,Publication ⊑ University
All companys are publications as well as engineers.,Company ⊑ Publication ⊓ Engineer
Anything that maintains a country also maintains a person.,∃maintains.Country ⊑ ∃maintains.Person
Nothing that is a machine is a project.,Machine ⊑ ¬Project
All banks are defined as a department or a country.,Bank ⊑ Department ⊔ Country
Anything that likes a school.,∃likes.School
A project is always a scientist.,Project ⊑ Scientist
A customer is neither a city nor a movie.,Customer ⊑ ¬(City ⊔ Movie)
Every artist that develops only courses is a vehicle.,Artist ⊓ ∀develops.Course ⊑ Vehicle
Every plant that is located in only employees is a music.,Plant ⊓ ∀locatedIn.Employee ⊑ Music
A researcher is neither a employee nor a course.,Researcher ⊑ ¬(Employee ⊔ Course)
Every building owns at least one animal.,Building ⊑ ∃owns.Animal
Every library sells at least one account.,Library ⊑ ∃sells.Account
All orders are projects as well as schools.,Order ⊑ Project ⊓ School
A product or a customer.,Product ⊔ Customer
Every library operates only teachers.,Library ⊑ ∀operates.Teacher
Every plant is a order that funds at least one engineer.,Plant ⊑ Order ⊓ ∃funds.Engineer
Anything that is located in a company also is located in a cat.,∃locatedIn.Company ⊑ ∃locatedIn.Cat
Every machine is a supplier that creates at least one service.,Machine ⊑ Supplier ⊓ ∃creates.Service
Every city that develops only transactions is a library.,City ⊓ ∀develops.Transaction ⊑ Library
A book is neither a school nor a cat.,Book ⊑ ¬(School ⊔ Cat)
Every department that has child a dog is a hardware.,Department ⊓ ∃hasChild.Dog ⊑ Hardware
Every person is a manager that manages only invoices.,Person ⊑ Manager ⊓ ∀manages.Invoice
Every patient knows only librarys.,Patient ⊑ ∀knows.Library
Every country is both a transaction and a organization.,Country ⊑ Transaction ⊓ Organization
All students are engineers.,Student ⊑ Engineer
Anything that funds only vehicles.,∀funds.Vehicle
No account is a researcher.,Account ⊑ ¬Researcher
A customer cannot be a movie.,Customer ⊑ ¬Movie
Every department authors something that is both a researcher and a bank.,Department ⊑ ∃authors.(Researcher ⊓ Bank)
All movies are organizations as well as services.,Movie ⊑ Organization ⊓ Service
Every service is a company that delivers at least one order.,Service ⊑ Company ⊓ ∃delivers.Order
Whatever is both a movie and a dog authors a country.,Movie ⊓ Dog ⊑ ∃authors.Country
A manager is neither a company nor a employee.,Manager ⊑ ¬(Company ⊔ Employee)
Every cat is located in at least one employee.,Cat ⊑ ∃locatedIn.Employee
Anything that sells only departments.,∀sells.Department
No project is a software.,Project ⊑ ¬Software
Anything that delivers only patients.,∀delivers.Patient
All managers are patients as well as teachers.,Manager ⊑ Patient ⊓ Teacher
A transaction has child exclusively countrys.,Transaction ⊑ ∀hasChild.Country
Whatever is both a hospital and a project funds a music.,Hospital ⊓ Project ⊑ ∃funds.Music
Every teacher is a movie.,Teacher ⊑ Movie
A bank cannot be a cat.,Bank ⊑ ¬Cat
Every university is a account.,University ⊑ Account
A supplier is something that operates a transaction.,Supplier ⊑ ∃operates.Transaction
Every bank is both a person and a customer.,Bank ⊑ Person ⊓ Customer
No device is a software.,Device ⊑ ¬Software
Every animal is a supplier that funds only employees.,Animal ⊑ Supplier ⊓ ∀funds.Employee
